CODE,DESCRIPTION,CATEGORY
A4181,Sepsis due to Enterococcus,Infectious & Parasitic Diseases
A4189,Other specified sepsis,Infectious & Parasitic Diseases
A419,"Sepsis, unspecified organism",Infectious & Parasitic Diseases
A420,Pulmonary actinomycosis,Infectious & Parasitic Diseases
A421,Abdominal actinomycosis,Infectious & Parasitic Diseases
A422,Cervicofacial actinomycosis,Infectious & Parasitic Diseases
A427,Actinomycotic sepsis,Infectious & Parasitic Diseases
A4281,Actinomycotic meningitis,Infectious & Parasitic Diseases
A4282,Actinomycotic encephalitis,Infectious & Parasitic Diseases
A4289,Other forms of actinomycosis,Infectious & Parasitic Diseases
A429,"Actinomycosis, unspecified",Infectious & Parasitic Diseases
A430,Pulmonary nocardiosis,Infectious & Parasitic Diseases
A431,Cutaneous nocardiosis,Infectious & Parasitic Diseases
A438,Other forms of nocardiosis,Infectious & Parasitic Diseases
A439,"Nocardiosis, unspecified",Infectious & Parasitic Diseases
A440,Systemic bartonellosis,Infectious & Parasitic Diseases
A441,Cutaneous and mucocutaneous bartonellosis,Infectious & Parasitic Diseases
A448,Other forms of bartonellosis,Infectious & Parasitic Diseases
A449,"Bartonellosis, unspecified",Infectious & Parasitic Diseases
A46,Erysipelas,Infectious & Parasitic Diseases
A480,Gas gangrene,Infectious & Parasitic Diseases
A481,Legionnaires' disease,Infectious & Parasitic Diseases
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],Infectious & Parasitic Diseases
A483,Toxic shock syndrome,Infectious & Parasitic Diseases
A484,Brazilian purpuric fever,Infectious & Parasitic Diseases
A4851,Infant botulism,Infectious & Parasitic Diseases
A4852,Wound botulism,Infectious & Parasitic Diseases
A488,Other specified bacterial diseases,Infectious & Parasitic Diseases
A4901,"Methicillin suscep staph infection, unsp site",Infectious & Parasitic Diseases
A4902,"Methicillin resis staph infection, unsp site",Infectious & Parasitic Diseases
A491,"Streptococcal infection, unspecified site",Infectious & Parasitic Diseases
A492,"Hemophilus influenzae infection, unspecified site",Infectious & Parasitic Diseases
A493,"Mycoplasma infection, unspecified site",Infectious & Parasitic Diseases
A498,Other bacterial infections of unspecified site,Infectious & Parasitic Diseases
A499,"Bacterial infection, unspecified",Infectious & Parasitic Diseases
A5001,Early congenital syphilitic oculopathy,Infectious & Parasitic Diseases
A5002,Early congenital syphilitic osteochondropathy,Infectious & Parasitic Diseases
A5003,Early congenital syphilitic pharyngitis,Infectious & Parasitic Diseases
A5004,Early congenital syphilitic pneumonia,Infectious & Parasitic Diseases
A5005,Early congenital syphilitic rhinitis,Infectious & Parasitic Diseases
A5006,Early cutaneous congenital syphilis,Infectious & Parasitic Diseases
A5007,Early mucocutaneous congenital syphilis,Infectious & Parasitic Diseases
A5008,Early visceral congenital syphilis,Infectious & Parasitic Diseases
A5009,"Other early congenital syphilis, symptomatic",Infectious & Parasitic Diseases
A501,"Early congenital syphilis, latent",Infectious & Parasitic Diseases
A502,"Early congenital syphilis, unspecified",Infectious & Parasitic Diseases
A5030,"Late congenital syphilitic oculopathy, unspecified",Infectious & Parasitic Diseases
A5031,Late congenital syphilitic interstitial keratitis,Infectious & Parasitic Diseases
A5032,Late congenital syphilitic chorioretinitis,Infectious & Parasitic Diseases
A5039,Other late congenital syphilitic oculopathy,Infectious & Parasitic Diseases
A5040,"Late congenital neurosyphilis, unspecified",Infectious & Parasitic Diseases
A5041,Late congenital syphilitic meningitis,Infectious & Parasitic Diseases
A5042,Late congenital syphilitic encephalitis,Infectious & Parasitic Diseases
A5043,Late congenital syphilitic polyneuropathy,Infectious & Parasitic Diseases
A5044,Late congenital syphilitic optic nerve atrophy,Infectious & Parasitic Diseases
A5045,Juvenile general paresis,Infectious & Parasitic Diseases
A5049,Other late congenital neurosyphilis,Infectious & Parasitic Diseases
A5051,Clutton's joints,Infectious & Parasitic Diseases
A5052,Hutchinson's teeth,Infectious & Parasitic Diseases
A5053,Hutchinson's triad,Infectious & Parasitic Diseases
A5054,Late congenital cardiovascular syphilis,Infectious & Parasitic Diseases
A5055,Late congenital syphilitic arthropathy,Infectious & Parasitic Diseases
A5056,Late congenital syphilitic osteochondropathy,Infectious & Parasitic Diseases
A5057,Syphilitic saddle nose,Infectious & Parasitic Diseases
A5059,"Other late congenital syphilis, symptomatic",Infectious & Parasitic Diseases
A506,"Late congenital syphilis, latent",Infectious & Parasitic Diseases
A507,"Late congenital syphilis, unspecified",Infectious & Parasitic Diseases
A509,"Congenital syphilis, unspecified",Infectious & Parasitic Diseases
A510,Primary genital syphilis,Infectious & Parasitic Diseases
A511,Primary anal syphilis,Infectious & Parasitic Diseases
A512,Primary syphilis of other sites,Infectious & Parasitic Diseases
A5131,Condyloma latum,Infectious & Parasitic Diseases
A5132,Syphilitic alopecia,Infectious & Parasitic Diseases
A5139,Other secondary syphilis of skin,Infectious & Parasitic Diseases
A5141,Secondary syphilitic meningitis,Infectious & Parasitic Diseases
A5142,Secondary syphilitic female pelvic disease,Infectious & Parasitic Diseases
A5143,Secondary syphilitic oculopathy,Infectious & Parasitic Diseases
A5144,Secondary syphilitic nephritis,Infectious & Parasitic Diseases
A5145,Secondary syphilitic hepatitis,Infectious & Parasitic Diseases
A5146,Secondary syphilitic osteopathy,Infectious & Parasitic Diseases
A5149,Other secondary syphilitic conditions,Infectious & Parasitic Diseases
A515,"Early syphilis, latent",Infectious & Parasitic Diseases
A519,"Early syphilis, unspecified",Infectious & Parasitic Diseases
A5200,"Cardiovascular syphilis, unspecified",Infectious & Parasitic Diseases
A5201,Syphilitic aneurysm of aorta,Infectious & Parasitic Diseases
A5202,Syphilitic aortitis,Infectious & Parasitic Diseases
A5203,Syphilitic endocarditis,Infectious & Parasitic Diseases
A5204,Syphilitic cerebral arteritis,Infectious & Parasitic Diseases
A5205,Other cerebrovascular syphilis,Infectious & Parasitic Diseases
A5206,Other syphilitic heart involvement,Infectious & Parasitic Diseases
A5209,Other cardiovascular syphilis,Infectious & Parasitic Diseases
A5210,"Symptomatic neurosyphilis, unspecified",Infectious & Parasitic Diseases
A5211,Tabes dorsalis,Infectious & Parasitic Diseases
A5212,Other cerebrospinal syphilis,Infectious & Parasitic Diseases
A5213,Late syphilitic meningitis,Infectious & Parasitic Diseases
A5214,Late syphilitic encephalitis,Infectious & Parasitic Diseases
A5215,Late syphilitic neuropathy,Infectious & Parasitic Diseases
A5216,Charcot's arthropathy (tabetic),Infectious & Parasitic Diseases
A5217,General paresis,Infectious & Parasitic Diseases
A5219,Other symptomatic neurosyphilis,Infectious & Parasitic Diseases
A522,Asymptomatic neurosyphilis,Infectious & Parasitic Diseases
A523,"Neurosyphilis, unspecified",Infectious & Parasitic Diseases
A5271,Late syphilitic oculopathy,Infectious & Parasitic Diseases
A5272,Syphilis of lung and bronchus,Infectious & Parasitic Diseases
A5273,Symptomatic late syphilis of other respiratory organs,Infectious & Parasitic Diseases
A5274,Syphilis of liver and other viscera,Infectious & Parasitic Diseases
A5275,Syphilis of kidney and ureter,Infectious & Parasitic Diseases
A5276,Other genitourinary symptomatic late syphilis,Infectious & Parasitic Diseases
A5277,Syphilis of bone and joint,Infectious & Parasitic Diseases
A5278,Syphilis of other musculoskeletal tissue,Infectious & Parasitic Diseases
A5279,Other symptomatic late syphilis,Infectious & Parasitic Diseases
A528,"Late syphilis, latent",Infectious & Parasitic Diseases
A529,"Late syphilis, unspecified",Infectious & Parasitic Diseases
A530,"Latent syphilis, unspecified as early or late",Infectious & Parasitic Diseases
A539,"Syphilis, unspecified",Infectious & Parasitic Diseases
A5400,"Gonococcal infection of lower genitourinary tract, unsp",Infectious & Parasitic Diseases
A5401,"Gonococcal cystitis and urethritis, unspecified",Infectious & Parasitic Diseases
A5402,"Gonococcal vulvovaginitis, unspecified",Infectious & Parasitic Diseases
A5403,"Gonococcal cervicitis, unspecified",Infectious & Parasitic Diseases
A5409,Other gonococcal infection of lower genitourinary tract,Infectious & Parasitic Diseases
A541,Gonocl infct of lower GU tract w periureth and acc glnd abcs,Infectious & Parasitic Diseases
A5421,Gonococcal infection of kidney and ureter,Infectious & Parasitic Diseases
A5422,Gonococcal prostatitis,Infectious & Parasitic Diseases
A5423,Gonococcal infection of other male genital organs,Infectious & Parasitic Diseases
A5424,Gonococcal female pelvic inflammatory disease,Infectious & Parasitic Diseases
A5429,Other gonococcal genitourinary infections,Infectious & Parasitic Diseases
A5430,"Gonococcal infection of eye, unspecified",Infectious & Parasitic Diseases
A5431,Gonococcal conjunctivitis,Infectious & Parasitic Diseases
A5432,Gonococcal iridocyclitis,Infectious & Parasitic Diseases
A5433,Gonococcal keratitis,Infectious & Parasitic Diseases
A5439,Other gonococcal eye infection,Infectious & Parasitic Diseases
A5440,"Gonococcal infection of musculoskeletal system, unspecified",Infectious & Parasitic Diseases
A5441,Gonococcal spondylopathy,Infectious & Parasitic Diseases
A5442,Gonococcal arthritis,Infectious & Parasitic Diseases
A5443,Gonococcal osteomyelitis,Infectious & Parasitic Diseases
A5449,Gonococcal infection of other musculoskeletal tissue,Infectious & Parasitic Diseases
A545,Gonococcal pharyngitis,Infectious & Parasitic Diseases
A546,Gonococcal infection of anus and rectum,Infectious & Parasitic Diseases
A5481,Gonococcal meningitis,Infectious & Parasitic Diseases
A5482,Gonococcal brain abscess,Infectious & Parasitic Diseases
A5483,Gonococcal heart infection,Infectious & Parasitic Diseases
A5484,Gonococcal pneumonia,Infectious & Parasitic Diseases
A5485,Gonococcal peritonitis,Infectious & Parasitic Diseases
A5486,Gonococcal sepsis,Infectious & Parasitic Diseases
A5489,Other gonococcal infections,Infectious & Parasitic Diseases
A549,"Gonococcal infection, unspecified",Infectious & Parasitic Diseases
A55,Chlamydial lymphogranuloma (venereum),Infectious & Parasitic Diseases
A5600,"Chlamydial infection of lower genitourinary tract, unsp",Infectious & Parasitic Diseases
A5601,Chlamydial cystitis and urethritis,Infectious & Parasitic Diseases
A5602,Chlamydial vulvovaginitis,Infectious & Parasitic Diseases
A5609,Other chlamydial infection of lower genitourinary tract,Infectious & Parasitic Diseases
A5611,Chlamydial female pelvic inflammatory disease,Infectious & Parasitic Diseases
A5619,Other chlamydial genitourinary infection,Infectious & Parasitic Diseases
A562,"Chlamydial infection of genitourinary tract, unspecified",Infectious & Parasitic Diseases
A563,Chlamydial infection of anus and rectum,Infectious & Parasitic Diseases
